director_name,director_facebook_likes,actor_1_name,actor_1_facebook_likes,actor_2_name,actor_2_facebook_likes,actor_3_name,actor_3_facebook_likes,movie_title
Jonathan Liebesman,473,Matt Bomer,20000,Jordana Brewster,4000,Lew Temple,597,The Texas Chainsaw Massacre: The BeginningåÊ
Cyrus Nowrasteh,19,Clive Russell,241,Vincent Walsh,118,Finn Ireland,107,The Young MessiahåÊ
Perry Andelin Blake,11,Jennifer Esposito,911,Kenan Thompson,521,James Brolin,499,The Master of DisguiseåÊ
Guillermo del Toro,0,Ivana Baquero,634,Maribel VerdÌ¼,269,Sergi LÌ_pez,250,Pan's LabyrinthåÊ
,,Joel Courtney,1000,Jessika Van,921,Riley Smith,762,The MessengersåÊ            
John Whitesell,14,Leslie Bibb,1000,Angus T. Jones,1000,Paul Sorvino,635,See Spot RunåÊ
John Singleton,309,Mo'Nique,939,Snoop Dogg,881,Angell Conwell,522,Baby BoyåÊ
Christian E. Christiansen,26,Leighton Meester,3000,Danneel Ackles,1000,Frances Fisher,638,The RoommateåÊ
Dennie Gordon,29,Brittany Daniel,861,Erik Per Sullivan,593,Fred Ward,459,Joe DirtåÊ
Sheldon Lettich,23,Bolo Yeung,633,Alonna Shaw,67,Kamel Krifa,51,Double ImpactåÊ
Edgar Wright,1000,Bill Bailey,175,Joe Cornish,115,Billie Whitelaw,108,Hot FuzzåÊ
Diane English,15,Jada Pinkett Smith,851,Debi Mazar,680,Debra Messing,650,The WomenåÊ
Woody Allen,11000,Scarlett Johansson,19000,Kevin Dunn,581,Christopher Evan Welch,252,Vicky Cristina BarcelonaåÊ
Peter Flinth,5,Gustaf SkarsgÌ´rd,908,Michael Nyqvist,690,Vincent Perez,292,Arn: The Knight TemplaråÊ
Jon Lucas,24,Mila Kunis,15000,Jay Hernandez,1000,Jada Pinkett Smith,851,Bad MomsåÊ
Robert Iscove,7,Alyson Hannigan,3000,Amanda Detmer,240,Tsianina Joelson,95,Boys and GirlsåÊ
Peter Kosminsky,7,Patrick Fugit,835,Cole Hauser,787,Marc Donato,450,White OleanderåÊ
Karyn Kusama,45,J.K. Simmons,24000,Amy Sedaris,396,Cynthia Stevenson,271,Jennifer's BodyåÊ
Nick Gomez,22,Will Ferrell,8000,Jamie Lee Curtis,2000,Tracey Walter,324,Drowning MonaåÊ
Woody Allen,11000,Mike Starr,854,Don Pardo,410,Julie Kavner,233,Radio DaysåÊ
Vic Armstrong,179,Nicolas Cage,12000,Lea Thompson,1000,Quinton Aaron,734,Left BehindåÊ
Allen Coulter,47,Robert Pattinson,21000,Lena Olin,541,Ruby Jerins,238,Remember MeåÊ
Clare Kilner,6,Dylan Baker,812,Alexandra Holden,326,Trent Ford,258,How to DealåÊ
Richard Benjamin,121,Jon Lovitz,11000,Alyson Hannigan,3000,Tony Jay,384,My Stepmother Is an AlienåÊ
Jonathan Demme,438,Denzel Washington,18000,Tom Hanks,15000,Jason Robards,372,PhiladelphiaåÊ
Josef Rusnak,9,Gretchen Mol,599,Craig Bierko,380,Brad William Henke,363,The Thirteenth FlooråÊ
Lance Rivera,3,Farrah Fawcett,1000,Vincent Pastore,584,Jenifer Lewis,578,The CookoutåÊ
Ronald Neame,38,Martin Landau,940,Karl Malden,416,Brian Keith,316,MeteoråÊ
Bruce Paltrow,28,Lochlyn Munro,555,Marian Seldes,403,Huey Lewis,215,DuetsåÊ
Woody Allen,11000,Woody Allen,11000,Debra Messing,650,Treat Williams,642,Hollywood EndingåÊ
Adam Rifkin,89,Natasha Lyonne,1000,Lin Shaye,852,Shannon Tweed,322,Detroit Rock CityåÊ
Russell Mulcahy,85,Christopher Lambert,1000,Jon Polito,309,Celia Imrie,186,HighlanderåÊ
Susanne Bier,369,Alison Lohman,1000,Omar Benson Miller,418,Robin Weigert,295,Things We Lost in the FireåÊ
Kenneth Johnson,34,Charles Napier,503,Annabeth Gish,489,Hill Harper,465,SteelåÊ
James Gray,115,Jeremy Renner,10000,Dagmara Dominczyk,316,Angela Sarafyan,310,The ImmigrantåÊ
James Ivory,133,Vanessa Redgrave,898,Natasha Richardson,708,Lynn Redgrave,258,The White CountessåÊ
Danny Boyle,0,Rosario Dawson,3000,Spencer Wilding,1000,Tuppence Middleton,888,TranceåÊ
Jessy Terrero,29,Mo'Nique,939,Snoop Dogg,881,Tom Arnold,618,Soul PlaneåÊ
Dany Boon,172,Dany Boon,172,Kad Merad,55,Michel Galabru,27,Welcome to the SticksåÊ
Vicente Amorim,6,Viggo Mortensen,10000,Jodie Whittaker,304,Steven Mackintosh,227,GoodåÊ
Gaspar NoÌ©,929,Paz de la Huerta,488,Emily Alyn Lind,289,Olly Alexander,116,Enter the VoidåÊ
Amy Heckerling,143,Taylor Negron,1000,Justin Kirk,945,Ivan Sergei,613,VampsåÊ
Lasse HallstrÌ¦m,529,Cary-Hiroyuki Tagawa,1000,Sarah Roemer,884,Joan Allen,805,Hachi: A Dog's TaleåÊ
JÌ©rÌ«me Salle,22,Orlando Bloom,5000,Tanya van Graan,170,Conrad Kemp,44,ZuluåÊ
Tommy Lee Jones,0,Barry Corbin,883,Tim Blake Nelson,596,Miranda Otto,567,The HomesmanåÊ
Jesse Vaughan,10,Vivica A. Fox,890,Jenifer Lewis,578,Kevin Pollak,574,Juwanna MannåÊ
,,Steven Van Zandt,422,Trond Fausa,57,Tommy Karlsen,15,LilyhammeråÊ            
Atom Egoyan,460,David Alpay,232,Marie-JosÌ©e Croze,150,Charles Aznavour,125,AraratåÊ
William Bindley,4,Bruce Dern,844,Jake Lloyd,626,William Shockley,518,MadisonåÊ
Wayne Beach,7,Mekhi Phifer,1000,LL Cool J,1000,Fisher Stevens,922,Slow BurnåÊ
GÌ©rard Krawczyk,7,Carole Bouquet,235,RyÌ«ko Hirosue,46,Michel Muller,17,WasabiåÊ
James Gunn,571,Dustin Milligan,499,Gregg Henry,298,Tania Saulnier,102,SlitheråÊ
Martin Brest,102,Judge Reinhold,901,Ronny Cox,605,James Russo,383,Beverly Hills CopåÊ
Chris Columbus,0,Macaulay Culkin,3000,Devin Ratray,1000,Catherine O'Hara,925,Home AloneåÊ
Leonard Nimoy,12000,Tom Selleck,19000,Ted Danson,875,Steve Guttenberg,801,3 Men and a BabyåÊ
Sydney Pollack,521,Bill Murray,13000,Sydney Pollack,521,Teri Garr,481,TootsieåÊ
Tony Scott,12000,Tom Cruise,10000,Tom Skerritt,1000,Adrian Pasdar,555,Top GunåÊ
Ang Lee,0,Chen Chang,103,Pei-Pei Cheng,21,Sihung Lung,5,"Crouching Tiger, Hidden DragonåÊ"
Sam Mendes,0,Kevin Spacey,18000,Peter Gallagher,828,Ara Celi,158,American BeautyåÊ
Tom Hooper,0,Colin Firth,14000,Jennifer Ehle,1000,Derek Jacobi,520,The King's SpeechåÊ
Ivan Reitman,425,Kelly Preston,742,Tony Jay,384,Hugh O'Brian,247,TwinsåÊ
,,Bex Taylor-Klaus,460,Bobby Campo,292,Jason Wiles,260,Scream: The TV SeriesåÊ            
Udayan Prasad,4,Kristen Stewart,17000,Eddie Redmayne,13000,William Hurt,882,The Yellow HandkerchiefåÊ
Steven Spielberg,14000,Oprah Winfrey,852,Rae Dawn Chong,581,Dana Ivey,271,The Color PurpleåÊ
JK Youn,2,Nicole Dionne,94,Ji-won Ha,80,Kyung-gu Sol,13,Tidal WaveåÊ
Timur Bekmambetov,335,Morgan Freeman,11000,Ayelet Zurer,744,Moises Arias,635,Ben-HuråÊ
Morten Tyldum,77,Benedict Cumberbatch,19000,Rory Kinnear,393,Allen Leech,305,The Imitation GameåÊ
Howard Zieff,6,Eileen Brennan,1000,Albert Brooks,745,Alan Oppenheimer,271,Private BenjaminåÊ
Michael Apted,150,Sissy Spacek,874,Beverly D'Angelo,816,Levon Helm,572,Coal Miner's DaughteråÊ
Thor Freudenthal,87,ChloÌÇ Grace Moretz,17000,Zachary Gordon,975,Rachael Harris,569,Diary of a Wimpy KidåÊ
AndrÌ©s Muschietti,127,Javier Botet,1000,Megan Charpentier,340,Isabelle NÌ©lisse,250,MamaåÊ
John Carpenter,0,Jamie Lee Curtis,2000,Donald Pleasence,742,P.J. Soles,598,HalloweenåÊ
Harold Ramis,11000,Beverly D'Angelo,816,Randy Quaid,695,Jane Krakowski,624,National Lampoon's VacationåÊ
Jeff Tremaine,79,Jackson Nicoll,925,Georgina Cates,38,Grasie Mercedes,27,Bad GrandpaåÊ
Stephen Frears,350,Roger Allam,326,Sylvia Syms,48,Alex Jennings,39,The QueenåÊ
Tim Burton,13000,Catherine O'Hara,925,Jeffrey Jones,692,Glenn Shadix,217,BeetlejuiceåÊ
Tyler Perry,0,Michael Jai White,2000,Tasha Smith,721,Lamman Rucker,607,Why Did I Get Married?åÊ
Gillian Armstrong,44,Christian Bale,23000,Kirsten Dunst,4000,Eric Stoltz,902,Little WomenåÊ
James Watkins,43,Daniel Radcliffe,11000,Roger Allam,326,Jessica Raine,259,The Woman in BlackåÊ
Simon West,165,Madeline Carroll,1000,Tessa Thompson,431,Brian Geraghty,383,When a Stranger CallsåÊ
Shawn Levy,189,Frankie Muniz,934,Donald Faison,927,Lee Majors,799,Big Fat LiaråÊ
Michael Cimino,517,Robert De Niro,22000,Meryl Streep,11000,John Savage,652,The Deer HunteråÊ
Barry Levinson,272,Robert De Niro,22000,Kirsten Dunst,4000,John Michael Higgins,957,Wag the DogåÊ
Jim Fall,13,Clayton Snyder,925,Adam Lamberg,738,Alex Borstein,566,The Lizzie McGuire MovieåÊ
Ric Roman Waugh,29,Dwayne Johnson,12000,Harold Perrineau,1000,Nadine Velazquez,874,SnitchåÊ
Michael Dougherty,66,Adam Scott,3000,Conchata Ferrell,658,Allison Tolman,562,KrampusåÊ
Robert Rodriguez,0,Jordana Brewster,4000,Salma Hayek,4000,Clea DuVall,1000,The FacultyåÊ
Brian Gibson,13,Rae'Ven Kelly,90,Virginia Capers,22,Dororthy Thorton,2,What's Love Got to Do with ItåÊ
James Mangold,446,Robert De Niro,22000,Sylvester Stallone,13000,Janeane Garofalo,1000,Cop LandåÊ
Joel Gallen,11,Chris Evans,11000,JoAnna Garcia Swisher,983,Mia Kirshner,971,Not Another Teen MovieåÊ
David Ayer,453,Jake Gyllenhaal,15000,Anna Kendrick,10000,America Ferrera,953,End of WatchåÊ
Cameron Crowe,488,Emma Stone,15000,Bradley Cooper,14000,Bill Murray,13000,AlohaåÊ
Rob Cohen,357,Paul Walker,23000,Leslie Bibb,1000,William Petersen,883,The SkullsåÊ
James Marsh,120,Eddie Redmayne,13000,Emily Watson,876,Simon McBurney,149,The Theory of EverythingåÊ
John Whitesell,14,Greg Grunberg,833,Regina Hall,807,Blair Underwood,685,Malibu's Most WantedåÊ
Matt Williams,18,Natalie Portman,20000,James Frain,1000,Stockard Channing,944,Where the Heart IsåÊ
David Lean,767,Claude Rains,607,JosÌ© Ferrer,202,Jack Hawkins,87,Lawrence of ArabiaåÊ
Rob Zombie,0,Scout Taylor-Compton,908,Tyler Mane,764,Margot Kidder,593,Halloween IIåÊ
Jean-Marc VallÌ©e,212,Michiel Huisman,2000,Kevin Rankin,820,Gaby Hoffmann,612,WildåÊ
Dennis Iliadis,29,Tony Goldwyn,956,Monica Potter,878,Martha MacIsaac,616,The Last House on the LeftåÊ
Clare Kilner,6,Jack Davenport,1000,Debra Messing,650,Holland Taylor,458,The Wedding DateåÊ
Rick Rosenthal,28,Jamie Lee Curtis,2000,Thomas Ian Nicholas,864,Bianca Kajlich,731,Halloween: ResurrectionåÊ
Louis Leterrier,255,Liam Neeson,14000,Jason Flemyng,1000,Alexa Davalos,850,Clash of the TitansåÊ
Rob Reiner,0,Robin Wright,18000,Carol Kane,636,AndrÌ© the Giant,594,The Princess BrideåÊ
Denzel Washington,18000,Denzel Washington,18000,Jurnee Smollett-Bell,2000,John Heard,697,The Great DebatersåÊ
Nicolas Winding Refn,0,Ryan Gosling,33000,Albert Brooks,745,Russ Tamblyn,228,DriveåÊ
Sara Sugarman,10,Adam Garcia,811,Carol Kane,636,Glenne Headly,231,Confessions of a Teenage Drama QueenåÊ
Nicholas Hytner,13,Liam Aiken,818,Tim Daly,511,Kali Rocha,106,The Object of My AffectionåÊ
Juan Carlos Fresnadillo,35,Jeremy Renner,10000,Harold Perrineau,1000,Catherine McCormack,306,28 Weeks LateråÊ
Thomas Carter,49,Jessie T. Usher,116,Matthew Daddario,110,Ser'Darius Blain,100,When the Game Stands TallåÊ
Wayne Wang,61,Cicely Tyson,907,Luke Benward,807,Eva Marie Saint,649,Because of Winn-DixieåÊ
Gina Prince-Bythewood,107,Alfre Woodard,1000,Sanaa Lathan,886,Omar Epps,865,Love & BasketballåÊ
George Armitage,5,Minnie Driver,893,Michael Cudlitz,822,Mitchell Ryan,141,Grosse Pointe BlankåÊ
Phil Traill,3,Bradley Cooper,14000,Katy Mixon,982,Beth Grant,628,All About SteveåÊ
Joe Berlinger,31,Kim Director,193,Erica Leerhsen,184,Kurt Loder,162,Book of Shadows: Blair Witch 2åÊ
Andrew Fleming,26,Christine Taylor,838,Rachel True,328,Brenda Strong,266,The CraftåÊ
Woody Allen,11000,Scarlett Johansson,19000,Mark Gatiss,567,Penelope Wilton,400,Match PointåÊ
Elizabeth Allen Rosenbaum,20,Sierra McCormick,512,Hutch Dano,316,Jason Spevack,125,Ramona and BeezusåÊ
James Ivory,133,Anthony Hopkins,12000,Peter Vaughan,310,Ben Chaplin,258,The Remains of the DayåÊ
Paul Thomas Anderson,0,Don Cheadle,3000,Nicole Ari Parker,360,Nina Hartley,170,Boogie NightsåÊ
Robert Harmon,11,Kieran Culkin,1000,Rosanna Arquette,605,Joss Ackland,232,Nowhere to RunåÊ
Michael Mayer,15,Alison Lohman,1000,Danny Pino,786,Tim McGraw,461,FlickaåÊ
Martin Weisz,7,Jeff Kober,919,Daniella Alonso,557,Jacob Vargas,399,The Hills Have Eyes IIåÊ
John Ottman,83,Loretta Devine,912,Joey Lawrence,786,Jacinda Barrett,579,Urban Legends: Final CutåÊ
Jay Russell,13,William Hurt,882,Sissy Spacek,874,Jonathan Jackson,613,Tuck EverlastingåÊ
John Bonito,8,Kelly Carlson,472,Firass Dirani,239,Drew Powell,129,The MarineåÊ
Peter Atencio,10,Nia Long,826,Will Forte,622,Keegan-Michael Key,415,KeanuåÊ
Shana Feste,19,Leighton Meester,3000,Cinda McCain,646,Tim McGraw,461,Country StrongåÊ
David Nutter,119,Bruce Greenwood,989,Ethan Embry,982,Katharine Isabelle,918,Disturbing BehavioråÊ
Derek Cianfrance,310,Ryan Gosling,33000,Ben Mendelsohn,748,Angelo Anthony Pizza,619,The Place Beyond the PinesåÊ
Roger Donaldson,79,Luke Bracey,775,Akie Kotabe,614,Will Patton,537,The November ManåÊ
Stephan Elliott,11,Jason Priestley,471,Patrick Bergin,308,GeneviÌ¬ve Bujold,159,Eye of the BeholderåÊ
Kathryn Bigelow,0,Jeremy Renner,10000,Christian Camargo,602,Brian Geraghty,383,The Hurt LockeråÊ
Mark L. Lester,73,Heather Locklear,695,George C. Scott,654,David Keith,563,FirestarteråÊ
Andrew Dominik,181,Brad Pitt,11000,Sam Shepard,820,Ben Mendelsohn,748,Killing Them SoftlyåÊ
Anton Corbijn,210,Philip Seymour Hoffman,22000,Nina Hoss,164,Homayoun Ershadi,123,A Most Wanted ManåÊ
Tom Green,374,Rip Torn,826,Harland Williams,503,Eddie Kaye Thomas,484,Freddy Got FingeredåÊ
Mike Nawrocki,12,Yuri Lowenthal,354,Cam Clarke,173,Phil Vischer,23,The Pirates Who Don't Do Anything: A VeggieTales MovieåÊ
Catherine Owens,0,Bono,468,The Edge,67,Larry Mullen Jr.,44,U2 3DåÊ
Douglas Aarniokoski,36,Christopher Lambert,1000,Adrian Paul,786,Adam Copeland,377,Highlander: EndgameåÊ
Bryan Barber,16,Cicely Tyson,907,Faizon Love,585,Bobb'e J. Thompson,526,IdlewildåÊ
Lone Scherfig,92,Anne Hathaway,11000,Jim Sturgess,5000,Rafe Spall,358,One DayåÊ
Drew Barrymore,0,Daniel Stern,796,Jimmy Fallon,787,Alia Shawkat,727,Whip ItåÊ
Brian Koppelman,34,Vin Diesel,14000,Tom Noonan,442,Kevin Gage,366,Knockaround GuysåÊ
James Foley,164,Louis Lombardi,436,Brian Van Holt,324,Leland Orser,308,ConfidenceåÊ
Albert Brooks,745,Jeff Bridges,12000,Bradley Whitford,821,Albert Brooks,745,The MuseåÊ
Irwin Winkler,34,Kevin McNally,427,Keith Allen,66,Sandra Nelson,65,De-LovelyåÊ
Woody Allen,11000,Woody Allen,11000,Larry David,860,Mia Farrow,563,New York StoriesåÊ
Steve Gomer,9,Trevor Morgan,595,Kyla Pratt,417,Shirley Douglas,47,Barney's Great AdventureåÊ
RZA,561,Rick Yune,746,RZA,561,Daniel Wu,353,The Man with the Iron FistsåÊ
Dean Parisot,23,Catherine O'Hara,925,Jake Busey,660,Shelley Duvall,629,Home FriesåÊ
Mark Piznarski,4,Bruce Greenwood,989,Chris Klein,841,Elaine Hendrix,670,Here on EarthåÊ
Terry Gilliam,0,Robert De Niro,22000,Bob Hoskins,5000,Jim Broadbent,1000,BrazilåÊ
Sean McNamara,80,Oliver James,1000,Rebecca De Mornay,872,Jason Ritter,782,Raise Your VoiceåÊ
,,David Ogden Stiers,443,Nicole de Boer,319,Chris Bruno,186,The Dead ZoneåÊ            
Joel Coen,0,Philip Seymour Hoffman,22000,Jeff Bridges,12000,Steve Buscemi,12000,The Big LebowskiåÊ
Craig Brewer,153,Justin Timberlake,3000,Michael Raymond-James,788,S. Epatha Merkerson,539,Black Snake MoanåÊ
Ron Shelton,41,Khandi Alexander,556,Dash Mihok,463,Michael Michele,274,Dark BlueåÊ
Michael Winterbottom,187,Angelina Jolie Pitt,11000,Archie Panjabi,883,Dan Futterman,254,A Mighty HeartåÊ
David Raynr,9,James Franco,11000,Jodi Lyn O'Keefe,897,Marla Sokoloff,612,Whatever It TakesåÊ
Mort Nathan,2,Vivica A. Fox,890,Lin Shaye,852,Bob Gunton,461,Boat TripåÊ
Oliver Parker,32,Colin Firth,14000,Tom Wilkinson,1000,Rupert Everett,692,The Importance of Being EarneståÊ
Dan Curtis,45,Jennifer Jason Leigh,1000,Campbell Scott,393,Estelle Parsons,224,The Love LetteråÊ
Wil Shriner,6,Logan Lerman,8000,Neil Flynn,625,Tim Blake Nelson,596,HootåÊ
Martin McDonagh,454,Elizabeth Berrington,65,Anna Madeley,49,Eric Godon,39,In BrugesåÊ
Tina Gordon Chism,24,Tyler James Williams,931,S. Epatha Merkerson,539,Diahann Carroll,426,PeeplesåÊ
Peter Cattaneo,11,Emma Stone,15000,Bradley Cooper,14000,Josh Gad,1000,The RockeråÊ
Vicky Jenson,96,J.K. Simmons,24000,Zach Gilford,971,Bobby Coleman,360,Post GradåÊ
Gus Van Sant,835,Matt Damon,13000,Hal Holbrook,826,Terry Kinney,363,Promised LandåÊ
Woody Allen,11000,Larry David,860,Michael McKean,658,Conleth Hill,386,Whatever WorksåÊ
Mary Lambert,52,Matthew Settle,477,Susan Ward,397,A.J. Buckley,275,The In CrowdåÊ
Tommy Lee Jones,0,Levon Helm,572,Dwight Yoakam,324,Guillermo Arriaga,289,Three BurialsåÊ
Peter Kassovitz,0,Robin Williams,49000,Mark Margolis,1000,Michael Jeter,693,Jakob the LiaråÊ
Shane Black,1000,Robert Downey Jr.,21000,Corbin Bernsen,1000,Larry Miller,611,Kiss Kiss Bang BangåÊ
Rodman Flender,6,Vivica A. Fox,890,Fred Willard,729,Elden Henson,577,Idle HandsåÊ
David Lynch,0,Naomi Watts,6000,Robert Forster,889,Laura Harring,669,Mulholland DriveåÊ
Katja von Garnier,18,Olivier Martinez,837,Agnes Bruckner,400,Chris Geere,220,Blood and ChocolateåÊ
Woody Allen,11000,Anthony Hopkins,12000,Naomi Watts,6000,Ewen Bremner,557,You Will Meet a Tall Dark StrangeråÊ
Mark Romanek,132,Andrew Garfield,10000,Charlie Rowe,882,Charlotte Rampling,844,Never Let Me GoåÊ
,,Anna Silk,857,Tom Hollander,555,Alessandro Nivola,527,The CompanyåÊ            
Brad Anderson,122,Thomas Kretschmann,918,Eduardo Noriega,278,Mac McDonald,25,TranssiberianåÊ
Michael Chapman,70,Curtis Armstrong,876,Pamela Reed,324,Mike Muscat,90,The Clan of the Cave BearåÊ
Antonio Banderas,0,Meat Loaf,783,Elizabeth Perkins,664,Noah Emmerich,617,Crazy in AlabamaåÊ
Michael Haneke,0,Naomi Watts,6000,Siobhan Fallon Hogan,294,Brady Corbet,287,Funny GamesåÊ
Khalil Sullins,5,Thomas Stroppel,192,Kalim Chandler,134,Amber Marie Bollinger,46,ListeningåÊ
Atom Egoyan,460,Bob Hoskins,5000,Elaine Cassidy,203,Gerard McSorley,71,Felicia's JourneyåÊ
Fritz Lang,756,Brigitte Helm,136,Gustav FrÌ¦hlich,23,Rudolf Klein-Rogge,18,MetropolisåÊ
Pierre Morel,180,David Belle,510,Cyril Raffaelli,297,Dany Verissimo-Petit,58,District B13åÊ
Gary Fleder,39,Steve Buscemi,12000,Bill Cobbs,970,Treat Williams,642,Things to Do in Denver When You're DeadåÊ
Hsiao-Hsien Hou,141,Qi Shu,1000,Chen Chang,103,Satoshi Tsumabuki,56,The AssassinåÊ
Gregor Jordan,34,Dean Stockwell,936,Scott Glenn,826,Leon,730,Buffalo SoldiersåÊ
Andrey Zvyagintsev,445,Konstantin Lavronenko,20,Vladimir Garin,13,Nataliya Vdovina,9,The ReturnåÊ
Tony Jaa,0,Nirut Sirichanya,64,Petchtai Wongkamlao,45,Sarunyu Wongkrachang,7,Ong-bak 2åÊ
Neil Marshall,197,Michael Fassbender,13000,JJ Feild,794,Dave Legeno,570,CenturionåÊ
Russell Mulcahy,85,Christopher Heyerdahl,825,Gina Bellman,476,Conrad Dunn,40,Silent TriggeråÊ
RyÌÈhei Kitamura,129,Bradley Cooper,14000,Brooke Shields,1000,Leslie Bibb,1000,The Midnight Meat TrainåÊ
Darrell Roodt,36,Jennifer Hudson,549,Wendy Crewson,248,Aubrey Poo,2,Winnie MandelaåÊ
Dito Montiel,68,Channing Tatum,17000,Al Pacino,14000,Tracy Morgan,642,The Son of No OneåÊ
Stefan Ruzowitzky,24,Eddie Izzard,776,Udo Kier,595,Edward Fox,125,All the Queen's MenåÊ
Jake Paltrow,17,Stephen Graham,1000,Gael Le Cornec,165,Keith Allen,66,The Good NightåÊ
Juraj Jakubisko,15,Anna Friel,735,Hans Matheson,627,Franco Nero,576,Bathory: Countess of BloodåÊ
Anthony Silverston,0,Liam Neeson,14000,Steve Buscemi,12000,Loretta Devine,912,KhumbaåÊ
Gabe IbÌÁÌ±ez,19,Birgitte Hjort SÌürensen,1000,Robert Forster,889,Melanie Griffith,537,AutomataåÊ
Gerry Lively,93,Bruce Payne,179,Lucy Gaskell,55,Steven Elder,51,Dungeons & Dragons: Wrath of the Dragon GodåÊ
Daniele Luchetti,6,Maximilian Dirr,61,Rodrigo De la Serna,57,Ferdinando Vetere,50,Chiamatemi Francesco - Il Papa della genteåÊ
Tung-Shing Yee,3,Bingbing Fan,556,Daniel Wu,353,Yasuaki Kurata,19,Shinjuku IncidentåÊ
Julien Temple,67,Samantha Morton,631,Dexter Fletcher,452,Linus Roache,303,PandaemoniumåÊ
Harold Ramis,11000,Bill Murray,13000,Chris Elliott,571,Willie Garson,512,Groundhog DayåÊ
Gregory Jacobs,13,Matt Bomer,20000,Channing Tatum,17000,Kevin Nash,642,Magic Mike XXLåÊ
Baz Luhrmann,1000,Leonardo DiCaprio,29000,Harold Perrineau,1000,Brian Dennehy,954,Romeo + JulietåÊ
Gilles Paquet-Brenner,15,Kristin Scott Thomas,1000,Aidan Quinn,767,Arben Bajraktaraj,121,Sarah's KeyåÊ
Peter Cousens,5,Sharon Leal,467,David Rasche,220,Bart Shatto,124,FreedomåÊ
Clint Eastwood,16000,Clint Eastwood,16000,Morgan Freeman,11000,Frances Fisher,638,UnforgivenåÊ
Lars von Trier,3000,Bryce Dallas Howard,3000,Jeremy Davies,769,Jean-Marc Barr,236,ManderlayåÊ
Danny Boyle,0,Anil Kapoor,668,Saurabh Shukla,56,Ayush Mahesh Khedekar,40,Slumdog MillionaireåÊ
Adrian Lyne,213,Fred Gwynne,886,Lois Smith,276,Anne Archer,249,Fatal AttractionåÊ
Garry Marshall,0,Julia Roberts,8000,Hector Elizondo,995,Jason Alexander,700,Pretty WomanåÊ
John Blanchard,0,Martin Short,770,Andrea Martin,179,Joe Flaherty,176,Towering InfernoåÊ            
John Cornell,5,Paul Hogan,442,Linda Kozlowski,162,John Meillon,57,Crocodile Dundee IIåÊ
Vidhu Vinod Chopra,34,MarÌ_a Valverde,892,Chris Marquette,355,Chad Bishop,277,Broken HorsesåÊ
Oliver Stone,0,Tom Cruise,10000,Tom Berenger,854,Stephen Baldwin,560,Born on the Fourth of JulyåÊ
Jon Turteltaub,226,Doug E. Doug,953,Leon,730,Malik Yoba,496,Cool RunningsåÊ
Patrick Lussier,71,Jensen Ackles,10000,Jaime King,960,Edi Gathegi,725,My Bloody ValentineåÊ
Ole Bornedal,30,Kyra Sedgwick,941,Madison Davenport,459,Natasha Calis,309,The PossessionåÊ
Ted Kotcheff,270,Sylvester Stallone,13000,Brian Dennehy,954,Chris Mulkey,535,First BloodåÊ
Sylvain White,41,Chris Brown,997,Laz Alonso,826,Harry Lennix,748,Stomp the YardåÊ
Lewis Gilbert,43,Caroline Munro,456,Desmond Llewelyn,244,Barbara Bach,238,The Spy Who Loved MeåÊ
,,Amy Bruni,155,Steve Gonsalves,130,Jason Hawes,84,Ghost HuntersåÊ            
Jamie Blanks,9,Alicia Witt,975,Loretta Devine,912,Julian Richings,648,Urban LegendåÊ
Stephen Frears,350,Keanu Reeves,18000,Peter Capaldi,17000,Swoosie Kurtz,418,Dangerous LiaisonsåÊ
Tyler Perry,0,Eddie Cibrian,849,Phylicia Rashad,597,Jamie Kennedy,490,Good DeedsåÊ
Randal Kleiser,116,Seymour Cassel,327,Klaus Maria Brandauer,172,Susan Hogan,25,White FangåÊ
Bruce McCulloch,54,Will Ferrell,8000,Elaine Hendrix,670,Molly Shannon,636,SuperstaråÊ
Phyllida Lloyd,58,Meryl Streep,11000,Jim Broadbent,1000,Olivia Colman,583,The Iron LadyåÊ
Mike Nawrocki,12,Phil Vischer,23,Mike Nawrocki,12,Shelby Vischer,8,Jonah: A VeggieTales MovieåÊ
John Singleton,309,Janet Jackson,592,Khandi Alexander,556,Maya Angelou,279,Poetic JusticeåÊ
Kevin Bray,10,Mike Epps,706,Roger Guenveur Smith,266,Gino Salvano,111,All About the BenjaminsåÊ
Wes Craven,0,John Witherspoon,723,W. Earl Brown,422,Allen Payne,364,Vampire in BrooklynåÊ
John Boorman,128,Linda Blair,931,Richard Burton,726,Ned Beatty,467,Exorcist II: The HereticåÊ
Courtney Solomon,31,Sissy Spacek,874,James D'Arcy,613,Vernon Dobtcheff,50,An American HauntingåÊ
David Zucker,119,Carmen Electra,869,Tyler Labine,779,Molly Shannon,636,My Boss's DaughteråÊ
David Twohy,123,Chris Hemsworth,26000,Milla Jovovich,14000,Marley Shelton,690,A Perfect GetawayåÊ
Rick Famuyiwa,44,America Ferrera,953,Lance Gross,849,Lupe Ontiveros,625,Our Family WeddingåÊ
Alan Cohn,0,Alyson Hannigan,3000,Linda Cardellini,2000,Poppy Montgomery,654,Dead Man on CampusåÊ
Franco Zeffirelli,160,Lily Tomlin,718,Joan Plowright,330,Paolo Seganti,55,Tea with MussoliniåÊ
Tom Holland,85,Joe Mantegna,1000,Bethany Joy Lenz,855,Kari Wuhrer,514,ThinneråÊ
Martin Scorsese,17000,Robert De Niro,22000,Liza Minnelli,740,Mary Kay Place,213,"New York, New YorkåÊ"
